Time (s),ESC signal (µs),Thrust (gf)
3.805845,0,0.114799899
3.821515,0,0.114799899
3.837505,0,0.114799899
3.85478,0,0.303211256
3.871945,0,0.303211256
3.887405,0,0.303211256
3.90298,0,0.303211256
3.919595,0,0.303211256
3.93542,0,0.303211256
3.95286,0,0.303211256
3.96838,0,0.303211256
3.9847,0,0.303211256
4.002625,0,0.330478538
4.022205,0,0.330478538
4.041025,0,0.330478538
4.05753,0,0.330478538
4.07363,0,0.330478538
4.089795,0,0.330478538
4.10621,0,0.330478538
4.121785,0,0.330478538
4.13801,0,0.330478538
4.1566,0,0.307887924
4.172885,0,0.307887924
4.188725,0,0.307887924
4.207145,0,0.307887924
4.22264,0,0.307887924
4.237515,0,0.307887924
4.255585,0,0.307887924
4.271525,0,0.307887924
4.286615,0,0.307887924
4.303895,0,0.122079444
4.31976,0,0.122079444
4.335755,0,0.122079444
4.35317,0,0.122079444
4.370055,0,0.122079444
4.385715,0,0.122079444
4.40308,0,0.122079444
4.41891,0,0.122079444
4.433505,0,0.122079444
4.44928,0,0.12572671
4.465625,0,0.12572671
4.482435,0,0.12572671
4.498795,0,0.12572671
4.51481,0,0.12572671
4.53293,0,0.12572671
4.54885,0,0.12572671
4.56487,0,0.12572671
4.58154,0,0.12572671
4.59701,0,0.12572671
4.61287,0,0.113806185
4.62894,0,0.113806185
4.645245,0,0.113806185
4.66079,0,0.113806185
4.67771,0,0.113806185
4.694445,0,0.113806185
4.709815,0,0.113806185
4.726115,0,0.113806185
4.74192,0,0.113806185
4.758725,0,0.122217769
4.775735,0,0.122217769
4.79267,0,0.122217769
4.80762,0,0.122217769
4.82288,0,0.122217769
4.83888,0,0.122217769
4.85683,0,0.122217769
4.872875,0,0.122217769
4.888945,0,0.122217769
4.905265,0,0.112993131
4.92113,0,0.112993131
4.936875,0,0.112993131
4.954195,0,0.112993131
4.970055,0,0.112993131
4.9857,0,0.112993131
5.003455,0,0.112993131
5.021485,0,0.112993131
5.03716,0,0.112993131
5.05396,0,0.139993104
5.069915,0,0.139993104
5.08591,0,0.139993104
5.10385,0,0.139993104
5.119,0,0.139993104
5.13495,0,0.139993104
5.15281,0,0.139993104
5.16891,0,0.139993104
5.18744,0,0.139993104
5.203025,0,-0.141045452
5.218995,0,-0.141045452
5.23492,0,-0.141045452
5.251255,0,-0.141045452
5.267025,0,-0.141045452
5.28195,0,-0.141045452
5.29701,0,-0.141045452
5.312165,0,-0.141045452
5.327485,0,-0.141045452
5.344615,0,-0.141045452
5.360185,0,-0.053904
5.37881,0,-0.053904
5.394125,0,-0.053904
5.41,0,-0.053904
5.4264,0,-0.053904
5.44218,0,-0.053904
5.458325,0,-0.053904
5.47415,0,-0.053904
5.489175,0,-0.053904
5.50691,0,-0.22683039
5.52202,0,-0.22683039
5.53824,0,-0.22683039
5.557005,0,-0.22683039
5.573035,0,-0.22683039
5.58933,0,-0.22683039
5.60547,0,-0.22683039
5.621325,0,-0.22683039
5.637035,0,-0.22683039
5.653715,0,-0.092458217
5.67132,0,-0.092458217
5.68744,0,-0.092458217
5.7033,0,-0.092458217
5.71925,0,-0.092458217
5.73508,0,-0.092458217
5.75044,0,-0.092458217
5.7665,0,-0.092458217
5.782505,0,-0.092458217
5.79849,0,-0.197138676
5.814555,0,-0.197138676
5.83251,0,-0.197138676
5.84831,0,-0.197138676
5.864225,0,-0.197138676
5.881325,0,-0.197138676
5.89724,0,-0.197138676
5.91336,0,-0.197138676
5.92924,0,-0.197138676
5.945345,0,0.149985901
5.96026,0,0.149985901
5.97767,0.1269,0.149985901
5.994805,0.6924,0.149985901
6.011395,1.5477,0.149985901
6.02656,2.5536,0.149985901
6.04253,3.5079,0.149985901
6.05859,4.4067,0.149985901
6.074405,5.37,0.149985901
6.09031,6.3156,0.149985901
6.107,7.2801,0.039836065
6.12237,8.2737,0.039836065
6.13827,9.1941,0.039836065
6.15628,10.152,0.039836065
6.172355,11.3133,0.039836065
6.187445,12.1956,0.039836065
6.20249,13.0983,0.039836065
6.218355,14.1126,0.039836065
6.23351,14.9523,0.039836065
6.248275,15.8622,0.210432019
6.264395,16.7475,0.210432019
6.27971,17.7138,0.210432019
6.29541,18.6342,0.210432019
6.31177,19.5747,0.210432019
6.32766,20.5578,0.210432019
6.34261,21.6306,0.210432019
6.35917,22.4094,0.210432019
6.376575,23.4012,0.210432019
6.392275,24.5397,0.072267857
6.40756,25.3866,0.072267857
6.423455,26.3052,0.072267857
6.439385,27.2568,0.072267857
6.45467,28.215,0.072267857
6.47204,29.166,0.072267857
6.50653,31.2825,0.072267857
6.52259,32.2437,0.072267857
6.53961,33.2076,0.072267857
6.5567,34.2345,0.237316408
6.57269,35.2566,0.237316408
6.58878,36.2184,0.237316408
6.604795,37.1802,0.237316408
6.619595,38.1372,0.237316408
6.63609,39.0258,0.237316408
6.65252,40.0182,0.237316408
6.668005,41.1159,0.237316408
6.68352,41.9442,0.237316408
6.698595,42.8619,-0.32482302
6.713595,43.7664,-0.32482302
6.72996,44.6736,-0.32482302
6.74577,45.6933,-0.32482302
6.761695,46.5978,-0.32482302
